source,item_path,name,kind,ext,bytes,sha256,lines,rows,columns,members,depth,headings_count,ids_unique
CONTROL_CENTER,CELL_02_5_SUCCESSOR_DRIVE_CUSTODY_FRESH_BOOTSTRAP.py,CELL_02_5_SUCCESSOR_DRIVE_CUSTODY_FRESH_BOOTSTRAP.py,text,.py,16658,798b7668686c2947104bead10bde30d8cab19834f91842fee3128ac2a0eceb79,360,,,,0,0,1
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip,zip,.zip,1441523,cc852b6d6b3dd6404ea81a9129a00611558d7dc540a82a248b0f4844d6e8eb33,,,,483,0,,
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/BOUNDED_LOOKUP_RECEIPTS.csv,BOUNDED_LOOKUP_RECEIPTS.csv,text,.csv,8166,0c2ab230f4333c9b4a0e3f1cd72eccd51f926593ab0bb858c1e7b613ba7503e8,12,12,10,,1,0,11
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/DELIVERY_SUMMARY_AR.md,DELIVERY_SUMMARY_AR.md,text,.md,2890,f60a5052684ab2e513920584748ca493e7c88593f1138a1e2a735cef89a30ce6,32,,,,1,2,1
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/GLOBAL_PREFERENCE_ARCHITECTURE_RECEIPT.json,GLOBAL_PREFERENCE_ARCHITECTURE_RECEIPT.json,text,.json,645,7050eb20c4509496c913dd25c199e70b6c96074029d88add005dece3058764e6,35,,,,1,0,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/06_CAPABILITY_ONTOLOGY_V2.csv,06_CAPABILITY_ONTOLOGY_V2.csv,text,.csv,75171,653cc83b3acf9a135a9166ecc2a0935623c413afa285d3ef4359eb2092e79e14,331,331,10,,1,0,408
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,ASTRA_BIG_BOSS_READER_SET_SINGLE.md,text,.md,12528,a20facfce2372bff2ce0a53a1fe92c0f9401d9cdf64a6b5958ee1ecd70279a6f,288,,,,1,54,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/01_SHARED_CORE_PROMOTION_LEDGER.csv,01_SHARED_CORE_PROMOTION_LEDGER.csv,text,.csv,8873,b13a8218adf23a27aa63b1c9e4e8c410d21e1139e6fa5b6665727bf4220d46e8,41,41,7,,1,0,46
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/02_GLOBAL_PREFERENCE_SCOPE_LEDGER.csv,02_GLOBAL_PREFERENCE_SCOPE_LEDGER.csv,text,.csv,8234,74951a2b6495a09532075b319cd5fe2fb38204a9f3ef514de2d7e6aecb4042fd,45,45,14,,1,0,44
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,text,.md,3773,a5c5fec3372d5ee857f19c09d96e12b8c444dbe099318f28f6cb76402cafa880,115,,,,1,11,0
